Title: The Catalina Surveys Periodic Variable Star Catalog 
Authors: Drake A.J., Graham M.J., Djorgovski S.G., Catelan M., Mahabal A.A., 
         Torrealba .G., Garcia-Alvarez D., Donalek C., Prieto J.L., Williams R.,
         Larson S., Christensen E., Belokurov V., Koposov S.E., Beshore E., 
         Boattini A., Gibbs A., Hill .R., Kowalski R., Johnson J., Shelly F. 
Table: Periodic Variable Catalog
================================================================================
Byte-by-byte Description of file: apjs496324t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label   Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---      CSS     Catalina Sky Survey identifier
  22- 23 I2     h        RAh     Hour of Right Ascension (J2000) 
  25- 26 I2     min      RAm     Minute of Right Ascension (J2000) 
  28- 32 F5.2   s        RAs     Second of Right Ascension (J2000) 
      34 A1     ---      DE-     Sign of the Declination (J2000)
  35- 36 I2     deg      DEd     Degree of Declination (J2000) 
  38- 39 I2     arcmin   DEm     Arcminute of Declination (J2000) 
  41- 44 F4.1   arcsec   DEs     Arcsecond of Declination (J2000) 
  46- 50 F5.2   mag      <Vmag>  Average V band magnitude from AFD
  52- 62 F11.7  d        PF      ? Period
  64- 68 F5.2   mag      AV      Amplitude from AFD
  70- 71 I2     ---      Class   Numerical class based on Table 2
      73 A1     ---    f_Class   Flag on Class (1)
--------------------------------------------------------------------------------
Note (1): 
    a = Period is inexact based on light curve inspection. 
    b = An object exhibiting baseline variation due to spots. 
CSS_J001456.3-104904 00 14 56.34 -10 49 04.6 17.54   0.3700751  0.34  5 
CSS_J001502.3-080329 00 15 02.37 -08 03 29.5 16.19   0.250842   0.42  1 
CSS_J001503.1-130914 00 15 03.19 -13 09 14.9 15.09   0.29226    0.56  1 
CSS_J001504.9+383107 00 15 04.97 +38 31 07.5 15.07   0.345278   0.17  1 
CSS_J001505.0+224800 00 15 05.05 +22 48 00.5 14.33   0.279396   0.17  5 
CSS_J001507.2+352145 00 15 07.24 +35 21 45.7 13.40   0.418698   0.46  1 
CSS_J001510.0+332157 00 15 10.07 +33 21 57.1 12.96   0.474632   0.21  1 
CSS_J001512.3+372025 00 15 12.38 +37 20 25.6 16.75   0.291274   0.37  1 
CSS_J001513.4+444327 00 15 13.45 +44 43 27.6 14.72   0.375686   0.20  1 
CSS_J001513.4+152403 00 15 13.47 +15 24 03.3 15.95   0.249428   0.50  1 
CSS_J001517.9+362425 00 15 17.96 +36 24 25.8 13.00   0.300126   0.18  1 
CSS_J001518.6+123517 00 15 18.62 +12 35 17.8 17.05   0.253924   0.25  1 
CSS_J001518.8+435011 00 15 18.80 +43 50 11.1 15.18   0.411644   0.49  1 
CSS_J001524.6+132844 00 15 24.60 +13 28 44.4 17.37   1.04558    0.42  2 
CSS_J001526.1+335056 00 15 26.10 +33 50 56.4 17.58   0.264218   0.38  1 
CSS_J001528.7+424723 00 15 28.75 +42 47 23.9 14.47   0.363708   0.35  1 
CSS_J001531.4+124934 00 15 31.47 +12 49 34.9 15.12   0.36347    0.23  1 
CSS_J001531.7-084634 00 15 31.75 -08 46 34.4 17.57   0.241022   0.46  1 
CSS_J001533.0+274017 00 15 33.07 +27 40 17.5 16.10   0.237454   0.35  1 
CSS_J001537.7+312045 00 15 37.74 +31 20 45.3 13.85   0.309028   0.58  1 
CSS_J001541.7+362258 00 15 41.70 +36 22 58.6 17.66   0.304175   0.54  5 
CSS_J001542.2-043220 00 15 42.28 -04 32 20.4 17.03   0.299336   0.46  5 
CSS_J001544.7+273834 00 15 44.70 +27 38 34.7 15.51   0.465864   0.34  1 
CSS_J001546.6+193807 00 15 46.65 +19 38 07.8 16.52   0.247665   0.62  1 
CSS_J001546.9+231523 00 15 46.95 +23 15 23.2 15.35   0.271248   0.35  1 
CSS_J001547.7+404520 00 15 47.73 +40 45 20.0 13.74   0.405591   0.35  1 
CSS_J001547.7-143517 00 15 47.76 -14 35 17.3 17.55   0.279357   0.24  5 
CSS_J001548.5+214410 00 15 48.50 +21 44 10.0 16.46   0.255244   0.32  1 
CSS_J001550.1+412802 00 15 50.14 +41 28 02.4 13.04   0.8504522  0.38  1 
CSS_J001551.1+411531 00 15 51.19 +41 15 31.0 14.99   0.265903   0.21  1 
CSS_J001553.2+093632 00 15 53.20 +09 36 32.1 17.59  11.460636   0.54 10 
CSS_J001553.5+293657 00 15 53.59 +29 36 57.0 18.18   0.217644   0.46  1 
CSS_J001555.1+141524 00 15 55.18 +14 15 24.7 13.83   0.34045    0.35  1 
CSS_J001555.5+232517 00 15 55.58 +23 25 17.7 14.03   0.263856   0.22  1 
CSS_J001556.7+411222 00 15 56.79 +41 12 22.2 15.26   0.349968   0.23  1 
CSS_J001559.7+115937 00 15 59.71 +11 59 37.7 15.78   0.384562   0.24  1 
CSS_J001605.4+415123 00 16 05.48 +41 51 23.0 13.55   0.401298   0.42  1 
CSS_J001610.2+273430 00 16 10.28 +27 34 30.9 13.46   0.325347   0.67  1 
CSS_J001612.7+330652 00 16 12.70 +33 06 52.8 14.18   0.317462   0.09  1 
CSS_J001615.8-061517 00 16 15.80 -06 15 17.2 16.30   0.256226   0.74  1 
